molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,PIC50
CHEMBL3969822,C[C@@H]1CN(Cc2ccc(C(F)(F)F)o2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,457.49600000000015,5.979900000000006,1.0,3.0,7.886056647693163
CHEMBL3931239,C[C@@H]1CN(Cc2ccc(C(F)(F)F)o2)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,444.4570000000001,5.697200000000005,1.0,4.0,7.853871964321762
CHEMBL3918060,C[C@@H]1CN(Cc2cnc(C(F)(F)F)s2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,474.55200000000013,5.843400000000006,1.0,4.0,7.823908740944319
CHEMBL3972616,C[C@@H]1CN(Cc2cnc(C(F)(F)F)s2)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,461.5130000000001,5.560700000000005,1.0,5.0,7.376750709602099
CHEMBL3950065,CCN1C[C@@H](C)N(C(=O)NCc2ccccc2)[C@@H](C)c2ccccc21,active,337.4670000000001,4.187800000000003,1.0,2.0,6.035269078946371
CHEMBL3985310,CC(C)CCN1C[C@@H](C)N(C(=O)Nc2cccnc2)[C@@H](C)c2ccccc21,active,366.5090000000001,4.931300000000005,1.0,3.0,7.040958607678906
CHEMBL3915547,C[C@@H]1CN(CC2CCCC2)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,378.5200000000001,5.075400000000005,1.0,3.0,7.2076083105017466
CHEMBL3977684,C[C@@H]1CN(CCOC(C)(C)C)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,396.5350000000001,4.700300000000004,1.0,4.0,7.040958607678906
CHEMBL3939715,C[C@@H]1CN(CCOC(C)(C)C)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,409.5740000000001,4.983000000000004,1.0,3.0,7.356547323513812
CHEMBL3969267,C[C@@H]1CN(c2ccccc2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,385.5110000000001,5.4996000000000045,1.0,2.0,6.679853713888946
CHEMBL3930700,C[C@@H]1CN(C(=O)c2ccccc2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,inactive,413.52100000000013,5.008300000000005,1.0,2.0,4.937418015771837
CHEMBL3921765,[2H]C([2H])(c1ccccc1)N1C[C@@H](C)N(C(=O)Nc2cccnc2)[C@@H](C)c2ccccc21,active,388.5112035560001,5.085400000000004,1.0,3.0,7.6020599913279625
CHEMBL3949545,C[C@@H]1CNc2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,inactive,309.41299999999995,3.7734000000000023,2.0,2.0,4.97061622231479
CHEMBL3984761,C[C@@H]1CN(Cc2ccccc2)c2cccc(F)c2[C@H](C)N1C(=O)Nc1cccnc1,active,404.4890000000001,5.224500000000005,1.0,3.0,7.2839966563652006
CHEMBL3914936,C[C@@H]1CN(Cc2ccccc2)c2ccc(F)cc2[C@H](C)N1C(=O)Nc1cccnc1,active,404.4890000000001,5.224500000000005,1.0,3.0,6.950781977329818
CHEMBL3936835,C[C@@H]1CN(Cc2ccccc2)c2cc(F)ccc2[C@H](C)N1C(=O)Nc1cccnc1,active,404.4890000000001,5.224500000000005,1.0,3.0,7.920818753952375
